Week in year,result
202001,228.57142857142858
202002,575.5384615384615
202003,686.1914893617021
202004,1112.4945054945056
202005,748.919540229885
202006,763.8282828282828
202007,670.9277108433735
202008,793.3536585365854
202009,892.1772151898734
202010,847.9605263157895
202011,702.3780487804878
202012,851.3108108108108
202013,879.6756756756756
202014,725.2659574468086
202015,1187.1546391752577
202016,958.4545454545455
202017,1103.064
202018,769.363184079602
202019,1145.1818181818182
202020,829.4848484848485
202021,868.7359307359308
202022,1143.9134199134198
202023,967.4935064935065
202024,1112.657894736842
202025,1321.7489177489178
202026,1216.0717488789237
202027,995.5244444444445
202028,913.4170212765957
202029,1074.8046875
202030,966.200956937799
202031,1466.1900532859681
202032,1803.8374558303888
202033,1847.1728395061727
202034,1717.4867724867725
202035,1397.352733686067
202036,1607.6955752212389
202037,1617.6522522522523
202038,1818.5807050092765
202039,1595.4749536178108
202040,1644.717996289425
202041,1116.4065335753176
202042,1378.3482142857142
202043,1304.3144876325089
202044,1228.68430335097
202045,1275.9241622574955
202046,1188.1992945326278
202047,1022.449378330373
202048,1121.64652014652
202049,973.6945736434109
202050,1064.3542780748662
202051,944.5712401055409
202052,439.2675324675325
202053,509.8987012987013
202101,643.1090909090909
202102,675.5428571428571
202103,699.6023936170212
202104,639.4874835309618
202105,408.99468791500664
202106,419.4675496688742
202107,731.5339925834363
202108,1034.7530266343826
202109,870.2408759124088
202110,684.72
202111,881.3244552058111
202112,957.8493317132443
202113,1020.1162227602906
202114,649.8169696969697
202115,1051.1707021791767
202116,1155.2503037667072
202117,1063.6969696969697
202118,937.0957575757576
202119,760.5842424242425
202120,1057.7602905569008
202121,1146.2949029126214
202122,1596.344282238443
202123,1626.4708737864078
202124,1614.1929611650485
202125,1397.2366790582405
202126,1190.8052109181142
202127,1181.0970515970516
202128,1314.75152998776
202129,1299.5825242718447
202130,1244.3011292346298
202131,1301.6467661691543
202132,1498.1735436893205
202133,1091.9664179104477
202134,1615.7347294938918
