Week in year,result
202044,7384.041884816754
202045,11288.244567219153
202046,11319.808314937454
202047,11197.631851851851
202048,11557.142541436464
202049,11444.617647058823
202050,11264.165586753059
202051,11005.713473160327
202052,8343.761535752026
202053,7501.512649332396
202101,9629.059867734077
202102,10398.070738440303
202103,10402.994791666666
202104,10434.721628147638
202105,10238.509393831975
202106,10496.640171858216
202107,10991.0
202108,11656.88298251873
202109,11475.961853832441
202110,11427.274263120058
202111,12254.026609133405
202112,11682.225528863391
202113,10831.847427132061
202114,10054.72340425532
202115,11336.457277335265
202116,11396.498206599714
202117,11129.556962025317
202118,11805.02606362591
202119,10509.317326162121
202120,12012.48122605364
202121,12095.195726821823
202122,13081.550582925913
202123,13072.416791604199
202124,12679.41576391483
202125,12745.724676313785
202126,12308.393468118196
202127,11875.123897199846
202128,11781.271467077397
202129,11616.954491957631
202130,12110.503025413473
202131,12713.942519364044
202132,13140.697004171407
202133,12869.182744565218
202134,14174.709449929478
